"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
410099702023006,"Block 3006, Block Group 3, Census Tract 9702.02, Columbia County, Oregon",3,0,0,0,0,0,3,0,0,3
410190600001062,"Block 1062, Block Group 1, Census Tract 600, Douglas County, Oregon",14,0,0,0,0,0,14,0,0,14
410190900012001,"Block 2001, Block Group 2, Census Tract 900.01, Douglas County, Oregon",20,0,0,0,0,0,20,0,0,20
410170018021006,"Block 1006, Block Group 1, Census Tract 18.02, Deschutes County, Oregon",8,0,0,0,0,0,8,0,0,8
410191400004004,"Block 4004, Block Group 4, Census Tract 1400, Douglas County, Oregon",4,0,0,0,0,0,4,0,0,4
410191400005008,"Block 5008, Block Group 5, Census Tract 1400, Douglas County, Oregon",18,0,0,0,0,0,18,0,0,18
410191300011061,"Block 1061, Block Group 1, Census Tract 1300.01, Douglas County, Oregon",17,0,0,0,0,0,17,0,0,17
410079502002025,"Block 2025, Block Group 2, Census Tract 9502, Clatsop County, Oregon",3,0,0,0,0,0,3,0,0,3
410170001001173,"Block 1173, Block Group 1, Census Tract 1, Deschutes County, Oregon",24,0,0,0,0,0,24,0,0,24
410110004011007,"Block 1007, Block Group 1, Census Tract 4.01, Coos County, Oregon",12,0,0,0,0,0,12,0,0,12
410110004011008,"Block 1008, Block Group 1, Census Tract 4.01, Coos County, Oregon",6,0,0,0,0,0,6,0,0,6
410110004011018,"Block 1018, Block Group 1, Census Tract 4.01, Coos County, Oregon",13,0,0,0,0,0,13,0,0,13
410110004011021,"Block 1021, Block Group 1, Census Tract 4.01, Coos County, Oregon",10,0,0,0,0,0,10,0,0,10
410110004011043,"Block 1043, Block Group 1, Census Tract 4.01, Coos County, Oregon",5,0,0,0,0,0,5,0,0,5
410099702021000,"Block 1000, Block Group 1, Census Tract 9702.02, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410099702021022,"Block 1022, Block Group 1, Census Tract 9702.02, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410099702021023,"Block 1023, Block Group 1, Census Tract 9702.02, Columbia County, Oregon",2,0,0,0,0,0,2,0,0,2
410099702012044,"Block 2044, Block Group 2, Census Tract 9702.01, Columbia County, Oregon",3,0,0,0,0,0,3,0,0,3
410079502001025,"Block 1025, Block Group 1, Census Tract 9502, Clatsop County, Oregon",21,0,0,0,0,0,21,0,0,21
410099709003003,"Block 3003, Block Group 3, Census Tract 9709, Columbia County, Oregon",18,0,0,0,0,0,18,0,0,18
410099711001001,"Block 1001, Block Group 1, Census Tract 9711, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410099711001024,"Block 1024, Block Group 1, Census Tract 9711, Columbia County, Oregon",8,0,0,0,0,0,8,0,0,8
410170011021028,"Block 1028, Block Group 1, Census Tract 11.02, Deschutes County, Oregon",37,0,0,0,0,0,37,0,0,37
410191500022001,"Block 2001, Block Group 2, Census Tract 1500.02, Douglas County, Oregon",10,0,0,0,0,0,10,0,0,10
410110004021001,"Block 1001, Block Group 1, Census Tract 4.02, Coos County, Oregon",13,0,0,0,0,0,13,0,0,13
410170012003018,"Block 3018, Block Group 3, Census Tract 12, Deschutes County, Oregon",42,0,0,0,0,0,42,0,0,42
410191300021001,"Block 1001, Block Group 1, Census Tract 1300.02, Douglas County, Oregon",6,0,0,0,0,0,6,0,0,6
410191300021003,"Block 1003, Block Group 1, Census Tract 1300.02, Douglas County, Oregon",169,166,166,0,0,0,3,0,0,3
410191300021004,"Block 1004, Block Group 1, Census Tract 1300.02, Douglas County, Oregon",25,8,0,8,0,0,17,0,0,17
410191600011012,"Block 1012, Block Group 1, Census Tract 1600.01, Douglas County, Oregon",1,0,0,0,0,0,1,0,0,1
410191600011034,"Block 1034, Block Group 1, Census Tract 1600.01, Douglas County, Oregon",7,0,0,0,0,0,7,0,0,7
410110004021022,"Block 1022, Block Group 1, Census Tract 4.02, Coos County, Oregon",4,0,0,0,0,0,4,0,0,4
410099710002000,"Block 2000, Block Group 2, Census Tract 9710, Columbia County, Oregon",8,0,0,0,0,0,8,0,0,8
410099710002024,"Block 2024, Block Group 2, Census Tract 9710, Columbia County, Oregon",22,0,0,0,0,0,22,0,0,22
410099711001080,"Block 1080, Block Group 1, Census Tract 9711, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410190300001001,"Block 1001, Block Group 1, Census Tract 300, Douglas County, Oregon",13,0,0,0,0,0,13,0,0,13
410191600012000,"Block 2000, Block Group 2, Census Tract 1600.01, Douglas County, Oregon",3,0,0,0,0,0,3,0,0,3
410191300022014,"Block 2014, Block Group 2, Census Tract 1300.02, Douglas County, Oregon",20,0,0,0,0,0,20,0,0,20
410079502004006,"Block 4006, Block Group 4, Census Tract 9502, Clatsop County, Oregon",37,0,0,0,0,0,37,0,0,37
410099711001096,"Block 1096, Block Group 1, Census Tract 9711, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410099711002002,"Block 2002, Block Group 2, Census Tract 9711, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410190300001049,"Block 1049, Block Group 1, Census Tract 300, Douglas County, Oregon",3,0,0,0,0,0,3,0,0,3
410079509002008,"Block 2008, Block Group 2, Census Tract 9509, Clatsop County, Oregon",13,0,0,0,0,0,13,0,0,13
410079509002010,"Block 2010, Block Group 2, Census Tract 9509, Clatsop County, Oregon",2,0,0,0,0,0,2,0,0,2
