GEOID,HH,POP,HH_Occ,GQ_Inst,GQ_Non,GP
410050221051009,28,71,28,0,0,71
410050229061027,1,1,1,0,0,1
410019503002090,1,4,0,0,0,4
410019503002143,0,0,0,0,0,0
410050221082037,1,14,1,0,0,14
410030109003017,33,76,31,0,0,76
410050201012021,3,25,1,0,0,25
410050221073002,0,0,0,0,0,0
410050221081022,1,12,0,0,0,12
410050231001010,132,348,131,0,0,348
410019503003019,0,0,0,0,0,0
410019503003072,1,2,0,0,0,2
410050221102036,18,55,18,0,0,55
410050201022038,7,9,7,0,0,9
410050202011010,5,13,5,0,0,13
410050221091021,21,40,21,0,0,40
410050221101012,4,16,4,0,0,16
410019503003166,11,29,11,0,0,29
410019504001018,28,46,24,0,0,46
410019506003351,0,0,0,0,0,0
410050222064015,24,63,24,0,0,63
410050222072013,12,19,12,0,0,19
410333616021057,26,55,26,0,0,55
410192000001058,30,70,30,0,0,70
410192000001110,0,0,0,0,0,0
410239601001102,0,0,0,0,0,0
410239601001166,0,0,0,0,0,0
410239601001219,6,7,6,0,0,7
410279501003038,26,80,20,0,5,75
410279501004038,10,30,10,0,0,30
410290025002336,9,10,8,0,0,10
410290025003035,63,143,58,0,0,143
410290026001037,27,0,1,0,0,0
410319400001065,0,0,0,0,0,0
410319603052040,0,0,0,0,0,0
410359705002153,0,0,0,0,0,0
410359705002205,0,0,0,0,0,0
410192000002044,32,84,32,0,0,84
410192000003051,0,0,0,0,0,0
410192000003103,0,0,0,0,0,0
410239601001277,0,0,0,0,0,0
410239601002016,0,0,0,0,0,0
410239601002063,0,0,0,0,0,0
410279501004084,0,0,0,0,0,0
410290026001098,4,2,4,0,0,2
410290026001151,0,0,0,0,0,0
410290026001188,0,0,0,0,0,0
410319400002081,0,0,0,0,0,0
410290028002023,56,125,51,0,0,125
410290028002057,0,0,0,0,0,0
410290028003003,18,42,8,0,0,42
410192100005006,0,0,0,0,0,0
410192100005058,0,0,0,0,0,0
410259602002077,0,0,0,0,0,0
410259602002286,0,0,0,0,0,0
410259602002338,0,0,0,0,0,0
410290007012006,77,188,77,0,0,188
410290007022015,7,25,6,0,0,25
410290007023044,6,17,6,0,0,17
410290023001006,5,14,5,0,0,14
410290023001059,2,4,2,0,0,4
410290028003023,6,15,6,0,0,15
410333606021007,7,17,2,0,0,17
410192100005116,0,0,0,0,0,0
410192100005168,0,0,0,0,0,0
410192100005220,12,21,12,0,0,21
410259602002238,0,0,0,0,0,0
410259602002449,0,0,0,0,0,0
410259602002511,0,0,0,0,0,0
410290009011018,28,80,28,0,0,80
410290009013014,12,32,12,0,0,32
410290023002059,0,0,0,0,0,0
410290023002112,0,0,0,0,0,0
410290023002144,0,0,0,0,0,0
410333615002049,0,0,0,0,0,0
410390007081015,0,0,0,0,0,0
410379602001273,0,0,0,0,0,0
410390004043024,1,2,1,0,0,2
410390007073053,0,0,0,0,0,0
410359713005006,36,101,34,0,0,101
410359714002003,33,83,33,0,0,83
410390005001036,1,5,1,0,0,5
410390007081079,1,0,0,0,0,0
410379602001319,0,0,0,0,0,0
410390015001242,0,0,0,0,0,0
410359719004004,48,109,45,0,0,109
410379601003477,0,0,0,0,0,0
410390005001082,5,24,5,0,0,24
410390002001036,8,18,8,0,0,18
410390005001050,19,11,3,0,0,11
410359715002002,0,0,0,0,0,0
410359715003003,1,12,1,0,0,12
