GEOID,NAME,POPW_E,POPW_M,W0_E,W0_M,W1_E,W1_M,W2_E,W2_M,W3_E,W3_M,OCCP_E,OCCP_M,OCCP_1_E,OCCP_1_M,OCCP_2_E,OCCP_2_M,OCCP_3_E,OCCP_3_M,OCCP_4_E,OCCP_4_M,OCCP_5_E,OCCP_5_M,OCCP_6_E,OCCP_6_M
53011041011,Census Tract 410.11; Clark County; Washington,1393,131,346,101,481,124,472,137,94,62,1796,304,711,192,200,123,411,217,213,87,214,82,47,50
53011041104,Census Tract 411.04; Clark County; Washington,1362,143,320,84,525,141,318,102,199,75,1901,296,442,131,342,113,438,135,281,106,398,141,0,13
53011041105,Census Tract 411.05; Clark County; Washington,2389,208,630,186,856,171,725,192,178,134,2986,508,926,213,463,203,574,181,557,250,466,256,0,18
53011041107,Census Tract 411.07; Clark County; Washington,1081,131,200,72,479,129,237,88,165,98,1649,365,493,141,219,161,495,206,99,65,343,183,0,13
53011041110,Census Tract 411.10; Clark County; Washington,2893,470,544,192,814,194,1400,505,135,61,4079,941,1433,414,888,393,739,312,267,112,752,399,0,18
53011041111,Census Tract 411.11; Clark County; Washington,1454,195,206,96,686,178,420,174,142,112,1960,375,384,128,525,215,278,128,216,157,557,230,0,13
53011041112,Census Tract 411.12; Clark County; Washington,2837,320,505,151,1255,233,844,257,233,149,3720,516,1427,415,742,316,639,206,403,190,497,192,12,19
53011041113,Census Tract 411.13; Clark County; Washington,1016,149,180,72,555,164,256,143,25,40,1145,262,249,127,177,157,217,133,286,178,216,126,0,13
53011041114,Census Tract 411.14; Clark County; Washington,2269,301,1021,233,807,235,405,128,36,38,1770,315,557,208,258,119,425,148,150,100,380,197,0,13
53011041203,Census Tract 412.03; Clark County; Washington,1902,205,527,122,632,149,668,190,75,55,2275,417,571,176,420,195,513,164,311,185,460,192,0,18
53011041205,Census Tract 412.05; Clark County; Washington,2012,178,651,182,711,173,507,132,143,114,2266,348,851,231,440,267,291,107,354,179,330,305,0,13
53011041206,Census Tract 412.06; Clark County; Washington,2421,425,717,295,904,404,546,146,254,126,2959,496,1301,422,405,189,501,186,320,147,375,165,57,56
53011041207,Census Tract 412.07; Clark County; Washington,913,126,317,120,310,123,160,91,126,82,1038,321,270,105,252,152,214,97,23,27,279,176,0,13
53011041208,Census Tract 412.08; Clark County; Washington,1834,214,474,152,907,235,393,174,60,69,1928,387,1066,254,195,147,437,196,137,101,93,68,0,13
53011041309,Census Tract 413.09; Clark County; Washington,1917,211,444,89,715,170,659,138,99,72,2442,402,1042,254,359,157,420,121,237,130,384,122,0,13
53011041310,Census Tract 413.10; Clark County; Washington,2401,236,1440,289,468,149,451,155,42,38,1506,283,828,247,215,124,304,145,34,28,125,116,0,13
53011041312,Census Tract 413.12; Clark County; Washington,2009,180,488,126,797,172,653,178,71,47,2418,352,650,211,358,119,715,170,228,109,467,143,0,18
53011041313,Census Tract 413.13; Clark County; Washington,1297,223,417,218,449,125,359,103,72,59,1481,268,298,109,333,114,462,117,126,64,262,108,0,13
53011041317,Census Tract 413.17; Clark County; Washington,2580,276,484,153,1106,282,898,243,92,65,3186,446,913,224,897,366,494,200,429,235,431,186,22,32
53011041319,Census Tract 413.19; Clark County; Washington,2207,264,543,223,690,195,705,171,269,104,3087,346,1033,245,829,278,552,167,249,121,424,175,0,18
53011041320,Census Tract 413.20; Clark County; Washington,2697,372,389,148,1112,352,894,263,302,187,3969,636,1228,447,794,283,998,294,342,184,607,270,0,18
53011041321,Census Tract 413.21; Clark County; Washington,1186,177,274,84,419,168,389,110,104,56,1614,265,690,180,312,126,247,106,138,85,227,74,0,13
53011041322,Census Tract 413.22; Clark County; Washington,2158,243,718,198,764,198,567,135,109,59,2443,347,738,212,583,160,566,135,169,89,387,161,0,18
53011041323,Census Tract 413.23; Clark County; Washington,2092,188,726,174,655,202,536,157,175,91,2447,528,709,343,567,162,481,159,195,107,495,225,0,18
53011041325,Census Tract 413.25; Clark County; Washington,1964,191,559,186,705,157,635,119,65,39,2264,292,1408,222,234,83,319,108,28,36,271,119,4,7
53011041326,Census Tract 413.26; Clark County; Washington,882,93,188,43,321,104,273,83,100,50,1226,191,445,125,175,74,220,72,107,53,279,89,0,13
53011041328,Census Tract 413.28; Clark County; Washington,2560,246,469,147,993,199,1061,191,37,44,3343,371,1631,323,354,156,787,206,156,121,415,221,0,18
53011041329,Census Tract 413.29; Clark County; Washington,2062,172,598,129,872,188,481,137,111,56,2293,332,1131,241,334,136,526,145,61,58,241,115,0,13
53011041330,Census Tract 413.30; Clark County; Washington,1768,226,314,103,620,150,564,171,270,77,2692,461,864,189,471,187,595,236,522,204,240,86,0,18
53011041331,Census Tract 413.31; Clark County; Washington,1067,125,225,67,403,117,297,83,142,71,1576,305,499,132,281,103,436,199,128,78,232,85,0,13
53011041332,Census Tract 413.32; Clark County; Washington,1360,210,366,145,242,77,526,204,226,103,2161,396,584,219,351,205,372,116,339,183,515,197,0,13
53011041333,Census Tract 413.33; Clark County; Washington,1225,173,338,160,409,116,383,103,95,69,1599,271,560,138,230,87,364,146,184,99,261,86,0,13
53011041334,Census Tract 413.34; Clark County; Washington,1004,249,99,54,265,89,324,106,316,249,2016,823,609,140,304,143,455,395,81,55,567,408,0,13
53011041335,Census Tract 413.35; Clark County; Washington,1927,192,449,125,559,172,617,142,302,100,2734,324,1132,205,273,104,808,206,242,110,279,130,0,18
53011041336,Census Tract 413.36; Clark County; Washington,1189,149,153,125,758,132,245,98,33,39,1342,205,584,181,142,101,383,138,59,48,174,91,0,13
53011041337,Census Tract 413.37; Clark County; Washington,1539,172,370,94,601,184,463,160,105,90,1876,326,903,189,269,141,295,122,130,93,279,161,0,13
53011041400,Census Tract 414; Clark County; Washington,2087,216,662,194,696,240,570,139,159,79,2648,521,1232,263,458,244,468,179,163,103,327,244,0,18
53011041500,Census Tract 415; Clark County; Washington,1132,116,350,119,297,78,426,124,59,41,1415,305,634,265,309,119,192,100,116,66,151,83,13,19
53011041600,Census Tract 416; Clark County; Washington,1332,159,305,85,699,158,296,99,32,51,1514,343,356,115,413,178,150,75,215,142,380,148,0,13
53011041700,Census Tract 417; Clark County; Washington,1733,199,315,157,827,167,406,133,185,106,2384,353,703,204,538,175,689,197,248,150,206,90,0,13
53011041800,Census Tract 418; Clark County; Washington,1749,223,499,123,700,212,427,180,123,63,2049,379,537,162,452,145,375,171,324,164,361,139,0,13
53011041900,Census Tract 419; Clark County; Washington,1024,132,282,60,377,97,312,87,53,30,1217,215,625,143,133,54,194,56,65,34,200,100,0,13
53011042000,Census Tract 420; Clark County; Washington,708,75,218,73,179,46,277,63,34,27,862,130,495,91,79,44,158,44,56,32,74,49,0,13
53011042100,Census Tract 421; Clark County; Washington,1260,153,308,110,410,118,460,124,82,54,1660,239,809,169,287,86,219,81,81,53,264,132,0,13
53011042300,Census Tract 423; Clark County; Washington,1907,177,735,175,695,176,393,176,84,79,1790,419,697,234,252,120,758,280,21,31,62,46,0,13
53011042400,Census Tract 424; Clark County; Washington,1052,133,534,107,424,82,90,59,4,6,643,143,396,104,28,23,136,98,17,18,66,42,0,13
53011042500,Census Tract 425; Clark County; Washington,881,92,188,53,379,73,289,81,25,22,1044,177,593,116,151,70,185,65,52,28,63,48,0,13
53011042601,Census Tract 426.01; Clark County; Washington,1127,132,290,97,591,169,229,98,17,21,1273,308,665,282,94,66,211,112,33,40,270,126,0,13
53011042602,Census Tract 426.02; Clark County; Washington,2000,246,422,179,988,218,514,225,76,87,2406,499,694,379,511,230,480,186,211,134,510,180,0,13
53011042700,Census Tract 427; Clark County; Washington,2211,199,825,182,784,157,479,131,123,97,2292,508,584,170,564,171,540,210,224,141,380,122,0,13
53011042800,Census Tract 428; Clark County; Washington,1280,160,277,74,587,152,362,100,54,30,1561,249,780,184,101,44,390,150,83,59,207,83,0,13
53011042900,Census Tract 429; Clark County; Washington,643,91,204,61,225,60,168,54,46,30,719,131,276,74,118,52,152,57,51,35,122,73,0,13
53011043000,Census Tract 430; Clark County; Washington,727,82,223,63,192,52,249,60,63,35,1006,204,303,94,193,62,298,116,96,50,116,57,0,13
53011043100,Census Tract 431; Clark County; Washington,1646,158,543,138,598,98,423,121,82,61,1847,371,828,201,222,120,348,109,289,126,160,73,0,13
53059950100,Census Tract 9501; Skamania County; Washington,23,21,11,18,7,6,5,9,0,13,18,17,9,10,3,4,0,13,0,13,6,8,0,13
53059950200,Census Tract 9502; Skamania County; Washington,1845,117,566,87,521,93,595,102,163,67,2484,312,1092,200,290,87,438,118,271,96,393,122,0,13
53059950300,Census Tract 9503; Skamania County; Washington,876,84,262,58,405,80,193,50,16,17,926,150,360,74,162,64,193,97,109,46,102,50,0,13
53059950400,Census Tract 9504; Skamania County; Washington,1032,103,369,87,321,66,269,79,73,48,1118,172,518,120,162,56,211,75,104,50,123,62,0,13
53059950500,Census Tract 9505; Skamania County; Washington,1036,123,475,120,282,100,220,85,59,49,965,216,270,103,264,135,100,69,148,84,183,94,0,13
