"BLOCK","HH","POP","HH_Occ","GQ_Inst","GQ_Non","GP"
530110410082004,45,146,45,0,0,146
530110410082006,31,83,31,0,0,83
530110410082007,52,121,52,0,0,121
530110410082009,13,43,13,0,0,43
530110410082010,58,145,58,0,0,145
530110410082012,18,30,18,0,0,30
530110410082013,68,160,68,0,0,160
530110410082014,12,30,12,0,0,30
530110410082016,6,27,6,0,0,27
530110410082017,13,35,13,0,0,35
530110410082019,16,46,16,0,0,46
530110410082020,15,39,15,0,0,39
530110410082022,15,48,9,0,0,48
530110410082023,16,44,16,0,0,44
530110410083000,118,278,118,0,0,278
530110410083002,17,56,11,0,0,56
530110410083003,18,49,12,0,0,49
530110410083005,59,155,59,0,0,155
530110410083006,38,92,38,0,0,92
530110410083008,39,103,39,0,0,103
530110410091000,89,184,89,0,0,184
530110410091002,52,135,51,0,0,135
530110410091003,10,23,10,0,0,23
530110410091004,19,65,15,0,0,65
530110410091005,200,423,198,0,0,423
530110410091006,13,45,13,0,0,45
530110410091007,38,107,38,0,0,107
530110410091008,92,176,90,0,0,176
530110410091009,42,105,42,0,0,105
530110410091010,9,32,9,0,0,32
530110410091011,17,51,17,0,0,51
530110410093006,35,83,35,0,0,83
530110410093007,21,59,21,0,0,59
530110410093008,24,52,24,0,0,52
530110410093010,4,30,4,0,0,30
530110410093011,13,25,13,0,0,25
530110410093013,22,73,21,0,0,73
530110410093014,34,111,34,0,0,111
530110410101002,143,358,138,0,0,358
530110410101003,16,47,12,0,0,47
530110410101005,284,576,273,0,0,576
530110410101006,285,593,285,0,0,593
530110410101008,6,26,5,0,0,26
530110410101009,197,291,193,0,0,291
530110410101011,7,47,7,0,0,47
530110410101012,24,89,24,0,0,89
530110410101013,33,77,33,0,0,77
530110410102000,127,217,127,0,0,217
530110410102002,9,52,9,0,0,52
530110410102005,16,50,9,0,0,50
530110420002008,61,141,61,0,0,141
530110420002009,13,40,13,0,0,40
530110420002011,9,20,9,0,0,20
530110420002012,8,29,8,0,0,29
530110420002013,12,41,11,0,0,41
530110420002014,9,12,9,0,0,12
530110420002015,7,13,7,0,0,13
530110420002016,4,13,1,0,0,13
530110420002017,13,38,13,0,0,38
530110420002018,20,49,20,0,0,49
530110420002019,31,64,31,0,0,64
530110421001034,11,20,11,0,0,20
530110421001035,21,45,21,0,0,45
530110421002001,12,22,12,0,0,22
530110421002002,12,18,12,0,0,18
530110421002004,17,48,17,0,0,48
530110421002005,11,23,11,0,0,23
530110421002007,9,29,9,0,0,29
530110421002008,8,23,8,0,0,23
530110421002010,9,39,4,0,0,39
530110421002011,6,14,6,0,0,14
530110421002012,55,144,54,0,0,144
530110421002015,54,133,50,0,0,133
530110421002017,24,75,24,0,0,75
530110421002018,30,85,30,0,0,85
530110421002020,100,187,100,0,0,187
530110421002021,22,44,22,0,0,44
530110421002022,19,47,19,0,0,47
530110421002023,16,36,16,0,0,36
530110421002024,17,40,17,0,0,40
530110421002025,19,53,17,0,0,53
530110421002026,17,36,17,0,0,36
530110421002027,17,26,12,0,0,26
530110421002028,16,26,16,0,0,26
530110421002029,12,47,11,0,0,47
530110421002030,13,33,6,0,0,33
530110421002031,13,21,13,0,0,21
530110421002032,12,28,12,0,0,28
530110421002033,41,64,41,0,0,64
530110421002034,14,37,14,0,0,37
530110421002036,14,21,14,0,0,21
530110421002037,11,24,11,0,0,24
530110421002038,12,34,12,0,0,34
530110421002040,12,33,11,0,0,33
530110421002041,12,32,12,0,0,32
530110421002043,14,34,14,0,0,34
530110421002044,19,38,19,0,0,38
530110421002046,21,48,7,0,0,48
530110421002047,16,28,16,0,0,28
530110410091012,12,31,12,0,0,31
530110410091013,13,31,7,0,0,31
530110410092000,95,189,94,0,0,189
530110410092001,38,96,34,0,0,96
530110410092003,9,26,9,0,0,26
530110410092004,3,17,3,0,0,17
530110410092008,224,374,216,0,0,374
530110410092010,4,18,2,0,0,18
530110410092013,13,61,2,0,0,61
530110410093000,31,50,31,0,0,50
530110410093002,24,44,24,0,0,44
530110410093003,30,79,22,0,0,79
530110410093004,16,64,13,0,0,64
530110423003017,25,46,25,0,0,46
530110423003018,11,39,7,0,0,39
530110423003020,8,26,8,0,0,26
530110423003021,8,12,7,0,0,12
530110423003023,29,49,29,0,0,49
530110423003024,12,36,12,0,0,36
530110423003026,22,44,22,0,0,44
530110423003027,13,19,12,0,0,19
530110423003028,11,23,11,0,0,23
530110423003030,12,27,12,0,0,27
530110423003031,11,26,10,0,0,26
530110423003033,11,30,9,0,0,30
530110423003034,9,15,2,0,0,15
530110423003035,16,23,15,0,0,23
530110423003036,11,17,11,0,0,17
530110423003037,19,38,19,0,0,38
530110423003038,15,23,15,0,0,23
530110423003039,2,12,2,0,0,12
530110423003040,27,39,23,0,0,39
530110423003041,10,24,10,0,0,24
530110423003042,1,15,1,0,0,15
530110410102006,198,371,198,0,0,371
530110410102007,241,569,238,0,0,569
530110410102008,22,50,22,0,0,50
530110410102010,25,50,25,0,0,50
530110410102014,15,43,15,0,0,43
530110410102015,39,120,32,0,0,120
530110410102016,23,68,23,0,0,68
530110410111003,138,416,126,0,32,384
530110410111004,7,39,7,0,0,39
530110410111007,119,220,110,0,0,220
