"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
410510016014012,"Block 4012, Block Group 4, Census Tract 16.01, Multnomah County, Oregon",9,0,0,0,0,0,9,9,0,0
410510016014014,"Block 4014, Block Group 4, Census Tract 16.01, Multnomah County, Oregon",49,0,0,0,0,0,49,49,0,0
410510049011010,"Block 1010, Block Group 1, Census Tract 49.01, Multnomah County, Oregon",81,0,0,0,0,0,81,81,0,0
410470009003006,"Block 3006, Block Group 3, Census Tract 9, Marion County, Oregon",177,0,0,0,0,0,177,177,0,0
410470009004007,"Block 4007, Block Group 4, Census Tract 9, Marion County, Oregon",17,0,0,0,0,0,17,4,0,13
410510016014021,"Block 4021, Block Group 4, Census Tract 16.01, Multnomah County, Oregon",17,0,0,0,0,0,17,17,0,0
410470027013021,"Block 3021, Block Group 3, Census Tract 27.01, Marion County, Oregon",12,3,0,3,0,0,9,9,0,0
410470027013025,"Block 3025, Block Group 3, Census Tract 27.01, Marion County, Oregon",9,0,0,0,0,0,9,9,0,0
410510017021017,"Block 1017, Block Group 1, Census Tract 17.02, Multnomah County, Oregon",89,0,0,0,0,0,89,89,0,0
410510017021018,"Block 1018, Block Group 1, Census Tract 17.02, Multnomah County, Oregon",59,0,0,0,0,0,59,54,0,5
410510040024041,"Block 4041, Block Group 4, Census Tract 40.02, Multnomah County, Oregon",211,0,0,0,0,0,211,211,0,0
410510040024043,"Block 4043, Block Group 4, Census Tract 40.02, Multnomah County, Oregon",105,0,0,0,0,0,105,105,0,0
410459703002024,"Block 2024, Block Group 2, Census Tract 9703, Malheur County, Oregon",37,0,0,0,0,0,37,37,0,0
410510032001006,"Block 1006, Block Group 1, Census Tract 32, Multnomah County, Oregon",24,0,0,0,0,0,24,24,0,0
410470002003035,"Block 3035, Block Group 3, Census Tract 2, Marion County, Oregon",1305,0,0,0,0,0,1305,1305,0,0
410470002003054,"Block 3054, Block Group 3, Census Tract 2, Marion County, Oregon",58,0,0,0,0,0,58,58,0,0
410510082011021,"Block 1021, Block Group 1, Census Tract 82.01, Multnomah County, Oregon",94,0,0,0,0,0,94,94,0,0
410459707001080,"Block 1080, Block Group 1, Census Tract 9707, Malheur County, Oregon",9,0,0,0,0,0,9,9,0,0
410670304021001,"Block 1001, Block Group 1, Census Tract 304.02, Washington County, Oregon",28,0,0,0,0,0,28,28,0,0
410699601002182,"Block 2182, Block Group 2, Census Tract 9601, Wheeler County, Oregon",6,0,0,0,0,0,6,6,0,0
410699601002194,"Block 2194, Block Group 2, Census Tract 9601, Wheeler County, Oregon",5,0,0,0,0,0,5,5,0,0
410710308022000,"Block 2000, Block Group 2, Census Tract 308.02, Yamhill County, Oregon",45,0,0,0,0,0,45,45,0,0
410710308022002,"Block 2002, Block Group 2, Census Tract 308.02, Yamhill County, Oregon",45,0,0,0,0,0,45,45,0,0
410710308022003,"Block 2003, Block Group 2, Census Tract 308.02, Yamhill County, Oregon",27,0,0,0,0,0,27,27,0,0
410710308022005,"Block 2005, Block Group 2, Census Tract 308.02, Yamhill County, Oregon",173,0,0,0,0,0,173,173,0,0
410710308022009,"Block 2009, Block Group 2, Census Tract 308.02, Yamhill County, Oregon",54,0,0,0,0,0,54,54,0,0
410710308022012,"Block 2012, Block Group 2, Census Tract 308.02, Yamhill County, Oregon",271,0,0,0,0,0,271,271,0,0
410710308022025,"Block 2025, Block Group 2, Census Tract 308.02, Yamhill County, Oregon",14,0,0,0,0,0,14,14,0,0
410710308022026,"Block 2026, Block Group 2, Census Tract 308.02, Yamhill County, Oregon",92,0,0,0,0,0,92,92,0,0
