"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
530110407112010,"Block 2010, Block Group 2, Census Tract 407.11, Clark County, Washington",8,0,0,0,0,0,8,0,0,8
530110404131008,"Block 1008, Block Group 1, Census Tract 404.13, Clark County, Washington",11,0,0,0,0,0,11,0,0,11
530110408031016,"Block 1016, Block Group 1, Census Tract 408.03, Clark County, Washington",11,0,0,0,0,0,11,0,0,11
530110404142001,"Block 2001, Block Group 2, Census Tract 404.14, Clark County, Washington",2,0,0,0,0,0,2,0,0,2
530110407121000,"Block 1000, Block Group 1, Census Tract 407.12, Clark County, Washington",8,0,0,0,0,0,8,0,0,8
530110404151024,"Block 1024, Block Group 1, Census Tract 404.15, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110404151026,"Block 1026, Block Group 1, Census Tract 404.15, Clark County, Washington",1,0,0,0,0,0,1,0,0,1
530110406054001,"Block 4001, Block Group 4, Census Tract 406.05, Clark County, Washington",8,0,0,0,0,0,8,0,0,8
530110407122000,"Block 2000, Block Group 2, Census Tract 407.12, Clark County, Washington",16,0,0,0,0,0,16,0,0,16
530110405053019,"Block 3019, Block Group 3, Census Tract 405.05, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110406081022,"Block 1022, Block Group 1, Census Tract 406.08, Clark County, Washington",3,0,0,0,0,0,3,0,0,3
530599502002072,"Block 2072, Block Group 2, Census Tract 9502, Skamania County, Washington",10,0,0,0,0,0,10,0,0,10
530599502003114,"Block 3114, Block Group 3, Census Tract 9502, Skamania County, Washington",408,0,0,0,0,0,408,0,0,408
530599503001029,"Block 1029, Block Group 1, Census Tract 9503, Skamania County, Washington",26,0,0,0,0,0,26,0,0,26
530110407151029,"Block 1029, Block Group 1, Census Tract 407.15, Clark County, Washington",11,3,0,0,3,0,8,0,0,8
530110411102001,"Block 2001, Block Group 2, Census Tract 411.10, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110411111002,"Block 1002, Block Group 1, Census Tract 411.11, Clark County, Washington",9,0,0,0,0,0,9,0,0,9
530110409083014,"Block 3014, Block Group 3, Census Tract 409.08, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110428001009,"Block 1009, Block Group 1, Census Tract 428, Clark County, Washington",11,0,0,0,0,0,11,0,0,11
530110410092005,"Block 2005, Block Group 2, Census Tract 410.09, Clark County, Washington",79,66,0,0,66,0,13,0,0,13
530110408062003,"Block 2003, Block Group 2, Census Tract 408.06, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110408063002,"Block 3002, Block Group 3, Census Tract 408.06, Clark County, Washington",93,0,0,0,0,0,93,0,0,93
530110424001011,"Block 1011, Block Group 1, Census Tract 424, Clark County, Washington",105,0,0,0,0,0,105,0,0,105
530110424001017,"Block 1017, Block Group 1, Census Tract 424, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110424002019,"Block 2019, Block Group 2, Census Tract 424, Clark County, Washington",77,0,0,0,0,0,77,0,0,77
530110411143002,"Block 3002, Block Group 3, Census Tract 411.14, Clark County, Washington",14,0,0,0,0,0,14,0,0,14
530110412033008,"Block 3008, Block Group 3, Census Tract 412.03, Clark County, Washington",19,0,0,0,0,0,19,0,0,19
530110418002001,"Block 2001, Block Group 2, Census Tract 418, Clark County, Washington",4,0,0,0,0,0,4,0,0,4
530110413331010,"Block 1010, Block Group 1, Census Tract 413.33, Clark County, Washington",10,0,0,0,0,0,10,0,0,10
530110413351002,"Block 1002, Block Group 1, Census Tract 413.35, Clark County, Washington",8,0,0,0,0,0,8,0,0,8
530110413351012,"Block 1012, Block Group 1, Census Tract 413.35, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110413302002,"Block 2002, Block Group 2, Census Tract 413.30, Clark County, Washington",9,0,0,0,0,0,9,0,0,9
530110413302008,"Block 2008, Block Group 2, Census Tract 413.30, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110413171000,"Block 1000, Block Group 1, Census Tract 413.17, Clark County, Washington",5,0,0,0,0,0,5,0,0,5
530110413211014,"Block 1014, Block Group 1, Census Tract 413.21, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110413231006,"Block 1006, Block Group 1, Census Tract 413.23, Clark County, Washington",4,0,0,0,0,0,4,0,0,4
530110413171013,"Block 1013, Block Group 1, Census Tract 413.17, Clark County, Washington",13,0,0,0,0,0,13,0,0,13
530110413191020,"Block 1020, Block Group 1, Census Tract 413.19, Clark County, Washington",14,0,0,0,0,0,14,0,0,14
530110413193000,"Block 3000, Block Group 3, Census Tract 413.19, Clark County, Washington",9,0,0,0,0,0,9,0,0,9
530110412053000,"Block 3000, Block Group 3, Census Tract 412.05, Clark County, Washington",2,0,0,0,0,0,2,0,0,2
530110413093005,"Block 3005, Block Group 3, Census Tract 413.09, Clark County, Washington",4,0,0,0,0,0,4,0,0,4
530110404082009,"Block 2009, Block Group 2, Census Tract 404.08, Clark County, Washington",2,0,0,0,0,0,2,0,0,2
530110404111002,"Block 1002, Block Group 1, Census Tract 404.11, Clark County, Washington",12,1,0,0,0,1,11,0,0,11
530110404121015,"Block 1015, Block Group 1, Census Tract 404.12, Clark County, Washington",12,0,0,0,0,0,12,0,0,12
530110412071001,"Block 1001, Block Group 1, Census Tract 412.07, Clark County, Washington",9,0,0,0,0,0,9,0,0,9
530110407061002,"Block 1002, Block Group 1, Census Tract 407.06, Clark County, Washington",10,0,0,0,0,0,10,0,0,10
530110406041001,"Block 1001, Block Group 1, Census Tract 406.04, Clark County, Washington",5,0,0,0,0,0,5,0,0,5
530110405071010,"Block 1010, Block Group 1, Census Tract 405.07, Clark County, Washington",1,0,0,0,0,0,1,0,0,1
