PUMA,BLOCK,hh_id
100,410619707003004,2585
100,410619707003004,2934
100,410619707003004,2934
100,410619707003004,3027
100,410619707003004,3030
100,410619707003004,3033
100,410619707003004,3100
100,410619707003004,3100
100,410619707003010,255
100,410619707003010,344
100,410619708001000,1749
100,410619708001013,69
100,410619708001013,1132
100,410619708001013,1623
100,410619708001013,1920
100,410619708001013,2047
100,410619708001013,2355
100,410619708001013,2934
100,410619708001013,3033
100,410619708004022,841
100,410619708004022,2036
100,410619708004022,2078
100,410619708004022,2184
100,410619708004022,2685
100,410619708004024,230
100,410619708004024,998
100,410619708004024,1796
100,410619708004024,1820
100,410619708004024,2918
100,410639601001095,131
100,410639601001095,255
100,410639601001095,357
100,410639601001095,784
100,410639601001095,889
100,410639601001095,1262
100,410639601001095,1412
100,410639601001095,1468
100,410639601001095,1796
100,410639601001095,2184
100,410639603001080,775
100,410639603001080,998
100,410639603001080,2918
100,410639603001080,3033
100,410639603002021,138
100,410639603002021,255
100,410639603002021,784
100,410639603002021,889
100,410639603002021,998
100,410639603002021,1410
100,410639603002021,1454
100,410639603002021,1623
100,410639603002021,1796
100,410639603002021,1796
100,410639603002021,2065
100,410639603002021,2184
100,410639603002021,2355
100,410639603002021,2918
100,410639603002021,2934
100,410639603002021,3058
100,410639603002021,3100
100,410639603002021,3100
200,410139501012002,1
200,410139501012002,60
200,410139501012002,103
200,410139501012002,122
200,410139501012002,126
200,410139501012002,178
200,410139501012002,206
200,410139501012002,208
200,410139501012002,449
200,410139501012002,554
200,410139501012002,877
200,410139501012002,877
200,410139501012002,877
200,410139501012002,885
200,410139501012002,940
200,410139501012002,1030
200,410139501012002,1126
200,410139501012002,1209
200,410139501012002,1555
200,410139501012002,1580
200,410139501012002,1873
200,410139501012002,1928
200,410139501012002,2012
200,410139501012002,2373
200,410139501012002,2373
200,410139501012002,2496
200,410139501012002,2618
200,410139501012002,2725
200,410139501012002,2860
200,410139501012002,3152
200,410139501021052,126
200,410139501021052,1867
200,410139501021052,2910
200,410139501021206,36
200,410139501021206,206
200,410139501021206,514
200,410139501021206,877
200,410139501021206,1030
200,410139501021206,1030
200,410139501021206,1580
200,410139501021206,2893
200,410139501022019,8
200,410139501022019,60
200,410139501022019,126
200,410139501022019,514
200,410139501022019,600
200,410139501022019,806
200,410139501022019,1126
200,410139501022019,1263
200,410139501022019,1263
200,410139501022019,1530
200,410139501022019,2100
