geography,id,num_hh_control,num_hh_result,num_hh_diff
BLOCK,410050205044000,12,12,0
BLOCK,410050206011008,7,7,0
BLOCK,410050243041069,44,44,0
BLOCK,410050208002019,1,1,0
BLOCK,410050208003002,1,1,0
BLOCK,410050208003008,21,21,0
BLOCK,410050235002002,1,1,0
BLOCK,410050235003016,8,8,0
BLOCK,410050227072029,11,11,0
BLOCK,410050215001011,14,14,0
BLOCK,410050215001035,1,1,0
BLOCK,410050218011013,4,4,0
BLOCK,410050218012004,7,7,0
BLOCK,410030106012001,10,10,0
BLOCK,410030106012007,50,50,0
BLOCK,410030106021006,56,56,0
BLOCK,410050230021004,10,10,0
BLOCK,410050230021015,15,15,0
BLOCK,410050230021018,7,7,0
BLOCK,410050222052000,9,9,0
BLOCK,410050222061000,2,2,0
BLOCK,410079505004008,9,9,0
BLOCK,410079505004015,9,9,0
BLOCK,410050225011028,8,8,0
BLOCK,410050209003000,15,15,0
BLOCK,410050227073010,8,8,0
BLOCK,410050215002006,1,1,0
BLOCK,410050215002009,11,11,0
BLOCK,410050215002013,80,80,0
BLOCK,410050215003009,15,15,0
BLOCK,410050215003010,8,8,0
BLOCK,410050215003014,5,5,0
BLOCK,410050221082022,2,2,0
BLOCK,410050221082024,5,5,0
BLOCK,410079511004011,10,10,0
BLOCK,410079506001012,10,10,0
BLOCK,410050223012040,11,11,0
BLOCK,410050223012045,5,5,0
BLOCK,410050224001017,3,3,0
BLOCK,410050224001019,9,9,0
BLOCK,410050225021005,4,4,0
BLOCK,410050226022029,14,14,0
BLOCK,410050219001018,11,11,0
BLOCK,410050221091013,7,7,0
BLOCK,410050226032002,1,1,0
BLOCK,410050210002013,1,1,0
BLOCK,410050210003010,10,10,0
BLOCK,410050220001000,6,6,0
BLOCK,410030108003029,23,23,0
BLOCK,410050226053000,7,7,0
BLOCK,410050226053004,9,9,0
BLOCK,410050226054001,5,5,0
BLOCK,410050226054003,3,3,0
BLOCK,410050211002014,12,12,0
BLOCK,410050216021013,5,5,0
BLOCK,410050216022002,7,7,0
BLOCK,410050220002014,9,9,0
BLOCK,410050229041006,3,3,0
BLOCK,410050226062002,7,7,0
BLOCK,410050211004008,5,5,0
BLOCK,410050211004010,4,4,0
BLOCK,410050212002001,4,4,0
BLOCK,410050217001000,10,10,0
BLOCK,410050217001002,15,15,0
BLOCK,410050229042036,18,18,0
BLOCK,410030001011000,54,54,0
BLOCK,410030001011009,7,7,0
BLOCK,410030001012006,26,26,0
BLOCK,410030001012010,9,9,0
BLOCK,410030001013007,12,12,0
BLOCK,410030001022008,5,5,0
BLOCK,410050222083015,8,8,0
BLOCK,410050222083019,3,3,0
BLOCK,410050222084012,18,18,0
BLOCK,410019504003010,3,3,0
BLOCK,410019505001106,3,3,0
BLOCK,410019505002000,20,20,0
BLOCK,410050204011008,6,6,0
BLOCK,410050204012012,5,5,0
BLOCK,410050204013003,3,3,0
BLOCK,410290002031008,15,15,0
BLOCK,410290004042014,3,3,0
BLOCK,410290004051000,12,12,0
BLOCK,410290004051002,20,20,0
BLOCK,410290004051012,1,1,0
BLOCK,410279502021001,12,12,0
BLOCK,410333612011009,10,10,0
BLOCK,410333612011017,4,4,0
BLOCK,410290004062006,1,1,0
BLOCK,410290004063007,4,4,0
BLOCK,410290005011000,5,5,0
BLOCK,410192000001029,4,4,0
BLOCK,410333610001006,5,5,0
BLOCK,410333610001010,9,9,0
BLOCK,410333612012007,7,7,0
BLOCK,410333612013007,72,72,0
BLOCK,410333603004001,11,11,0
BLOCK,410290005012013,17,17,0
BLOCK,410290005021000,6,6,0
BLOCK,410333608004000,13,13,0
BLOCK,410192000001042,1,1,0
BLOCK,410192000001055,26,26,0
BLOCK,410333612013008,9,9,0
BLOCK,410279503013016,4,4,0
BLOCK,410279503013018,24,24,0
BLOCK,410333610004020,8,8,0
BLOCK,410290013043043,9,9,0
BLOCK,410279504001015,2,2,0
BLOCK,410359703001000,11,11,0
BLOCK,410279504001035,2,2,0
BLOCK,410279504001039,27,27,0
BLOCK,410279504001041,6,6,0
BLOCK,410279504001052,4,4,0
BLOCK,410279504001056,7,7,0
BLOCK,410333604002033,3,3,0
BLOCK,410290014031012,4,4,0
BLOCK,410333611021003,5,5,0
BLOCK,410279504003018,13,13,0
BLOCK,410319603041096,5,5,0
BLOCK,410333607041003,21,21,0
BLOCK,410192000004055,24,24,0
BLOCK,410192000004058,20,20,0
BLOCK,410290001002009,12,12,0
BLOCK,410290001002012,9,9,0
BLOCK,410319602021021,13,13,0
BLOCK,410290011002016,7,7,0
BLOCK,410279501001050,1,1,0
BLOCK,410259601011004,12,12,0
BLOCK,410259601011017,9,9,0
BLOCK,410192000004076,69,69,0
BLOCK,410333611023025,6,6,0
BLOCK,410279504002005,5,5,0
BLOCK,410279504002015,6,6,0
BLOCK,410333603003005,9,9,0
BLOCK,410319602021030,20,20,0
