"TAZ","HHINC1","HHINC2","HHINC3","HHINC4","HHINC5","HHINC6","HHINC7","HHINC8","HHSIZE1","HHSIZE2","HHSIZE3","HHSIZE4","HHWORK0","HHWORK1","HHWORK2","HHWORK3","HHWCHILD","HHWOCHILD"
1259,0,5,2,2,1,3,2,0,3,7,3,2,5,7,3,0,3,12
1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1264,1,3,0,1,6,6,2,0,4,11,3,1,8,7,4,0,3,16
1265,1,2,2,5,8,4,2,1,5,11,4,5,11,8,6,0,5,20
1266,10,5,10,0,9,5,16,9,13,29,13,9,25,21,16,2,14,50
1267,2,4,1,5,3,1,0,0,1,12,1,2,4,7,5,0,2,14
1268,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1
1269,5,6,6,2,14,5,1,0,9,13,10,7,15,14,9,1,13,26
1270,0,4,2,1,1,4,1,0,3,6,2,2,4,7,2,0,2,11
1271,0,0,2,2,0,0,2,0,4,2,0,0,2,2,2,0,0,6
1272,2,5,5,0,2,0,2,0,2,10,2,2,7,7,2,0,2,14
1273,1,4,1,2,2,4,1,1,5,8,1,2,9,4,3,0,4,12
1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,16,8,8,3,14,6,2,0,17,26,7,7,22,22,12,1,9,48
1277,9,3,4,1,5,3,0,0,7,12,3,3,9,8,8,0,3,22
1278,0,0,1,0,2,0,1,0,0,4,0,0,3,1,0,0,0,4
1279,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,2
1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,2,1,0,5,6,3,1,0,6,9,2,1,7,8,3,0,3,15
1282,5,2,2,3,9,4,1,0,4,19,2,1,10,11,5,0,4,22
1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,2,1,0,0,0,1,0,0,1,1,0,2,2,1,0,1,1,3
1285,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1286,11,8,6,10,23,12,5,2,11,55,5,6,30,29,17,1,8,69
1287,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1288,3,3,1,9,15,10,3,1,9,27,4,5,16,17,11,1,9,36
1289,1,1,1,1,0,1,0,0,1,2,1,1,2,2,1,0,1,4
1290,11,17,9,33,82,39,17,17,46,107,31,41,82,85,51,7,53,172
1291,7,13,9,9,47,18,13,19,55,51,12,17,54,49,30,2,22,113
1292,12,11,5,30,58,31,9,5,37,73,26,25,59,61,37,4,42,119
1293,17,18,15,20,49,33,15,16,40,70,32,41,75,66,39,3,48,135
1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,0,0,0,0,0,2,1,0,1,0,0,2,1,2,0,0,1,2
1296,1,2,4,2,12,4,2,3,6,12,2,10,11,15,4,0,10,20
1297,7,6,6,9,27,2,13,8,23,37,10,8,29,37,12,0,15,63
1298,3,1,1,3,6,1,2,2,5,7,5,2,7,9,3,0,4,15
